PacketType,PayloadLen,DeviceID,Timestamp,PacketID,accel,Flags,Battery,CRC,time
2.0,24.0,3.0,7114.0,1.0,"[0.0, 0.0, 0.0]",3.0,0.0,81.0,0.0
2.0,24.0,1.0,7115.0,1.0,"[0.0, 0.0, 0.0]",3.0,0.0,181.0,0.001
2.0,24.0,2.0,7116.0,1.0,"[0.0, 0.0, 0.0]",3.0,0.0,235.0,0.002
2.0,24.0,3.0,7120.0,2.0,"[0.0, 0.0, 0.0]",3.0,0.0,18.0,0.006
2.0,24.0,2.0,7121.0,2.0,"[0.0, 0.0, 0.0]",3.0,0.0,135.0,0.007
2.0,24.0,1.0,7122.0,2.0,"[0.0, 0.0, 0.0]",3.0,0.0,63.0,0.008
2.0,24.0,3.0,7125.0,3.0,"[0.0, 0.0, 0.0]",3.0,0.0,104.0,0.011
2.0,24.0,2.0,7127.0,3.0,"[0.0, 0.0, 0.0]",3.0,0.0,52.0,0.013
2.0,24.0,1.0,7128.0,3.0,"[0.0, 0.0, 0.0]",3.0,0.0,161.0,0.014
2.0,24.0,3.0,7131.0,4.0,"[0.0, 0.0, 0.0]",3.0,0.0,196.0,0.017
2.0,24.0,2.0,7132.0,4.0,"[0.0, 0.0, 0.0]",3.0,0.0,196.0,0.018
2.0,24.0,1.0,7133.0,4.0,"[0.0, 0.0, 0.0]",3.0,0.0,15.0,0.019
2.0,24.0,3.0,7137.0,5.0,"[0.0, 0.0, 0.0]",3.0,0.0,238.0,0.023
2.0,24.0,1.0,7138.0,5.0,"[0.0, 0.0, 0.0]",3.0,0.0,121.0,0.024
2.0,24.0,2.0,7139.0,5.0,"[0.0, 0.0, 0.0]",3.0,0.0,178.0,0.025
2.0,24.0,1.0,7144.0,6.0,"[0.0, 0.0, 0.0]",3.0,0.0,171.0,0.03
2.0,24.0,3.0,7145.0,6.0,"[0.0, 0.0, 0.0]",3.0,0.0,79.0,0.031
2.0,24.0,2.0,7146.0,6.0,"[0.0, 0.0, 0.0]",3.0,0.0,169.0,0.032
2.0,24.0,3.0,7150.0,7.0,"[0.0, 0.0, 0.0]",3.0,0.0,70.0,0.036
2.0,24.0,1.0,7151.0,7.0,"[0.0, 0.0, 0.0]",3.0,0.0,162.0,0.037
2.0,24.0,2.0,7152.0,7.0,"[0.0, 0.0, 0.0]",3.0,0.0,166.0,0.038
2.0,24.0,1.0,7156.0,8.0,"[0.0, 0.0, 0.0]",3.0,0.0,244.0,0.042
2.0,24.0,2.0,7157.0,8.0,"[0.0, 0.0, 0.0]",3.0,0.0,63.0,0.043
2.0,24.0,3.0,7158.0,8.0,"[0.0, 0.0, 0.0]",3.0,0.0,217.0,0.044
2.0,24.0,3.0,7162.0,9.0,"[0.0, 0.0, 0.0]",3.0,0.0,210.0,0.048
2.0,24.0,1.0,7163.0,9.0,"[0.0, 0.0, 0.0]",3.0,0.0,54.0,0.049
2.0,24.0,2.0,7164.0,9.0,"[0.0, 0.0, 0.0]",3.0,0.0,104.0,0.05
2.0,24.0,2.0,7168.0,10.0,"[0.0, 0.0, 0.0]",3.0,0.0,255.0,0.054
