PacketType,PayloadLen,DeviceID,Timestamp,PacketID,accel,Flags,Battery,CRC,time
2.0,24.0,3.0,6518.0,1.0,"[0.0, 0.0, 0.0]",3.0,0.0,32.0,0.0
2.0,24.0,2.0,6519.0,1.0,"[0.0, 0.0, 0.0]",3.0,0.0,181.0,0.001
2.0,24.0,1.0,6520.0,1.0,"[0.0, 0.0, 0.0]",3.0,0.0,32.0,0.002
2.0,24.0,2.0,6523.0,2.0,"[0.0, 0.0, 0.0]",3.0,0.0,242.0,0.005
2.0,24.0,1.0,6525.0,2.0,"[0.0, 0.0, 0.0]",3.0,0.0,22.0,0.007
2.0,24.0,2.0,6526.0,2.0,"[0.0, 0.0, 0.0]",3.0,0.0,174.0,0.008
2.0,24.0,3.0,6528.0,2.0,"[0.0, 0.0, 0.0]",3.0,0.0,181.0,0.01
2.0,24.0,2.0,6532.0,3.0,"[0.0, 0.0, 0.0]",3.0,0.0,90.0,0.014
2.0,24.0,3.0,6533.0,3.0,"[0.0, 0.0, 0.0]",3.0,0.0,207.0,0.015
2.0,24.0,1.0,6535.0,3.0,"[0.0, 0.0, 0.0]",3.0,0.0,226.0,0.017
2.0,24.0,3.0,6538.0,4.0,"[0.0, 0.0, 0.0]",3.0,0.0,217.0,0.02
2.0,24.0,2.0,6539.0,4.0,"[0.0, 0.0, 0.0]",3.0,0.0,76.0,0.021
2.0,24.0,1.0,6541.0,4.0,"[0.0, 0.0, 0.0]",3.0,0.0,168.0,0.023
2.0,24.0,1.0,6545.0,5.0,"[0.0, 0.0, 0.0]",3.0,0.0,50.0,0.027
2.0,24.0,3.0,6546.0,5.0,"[0.0, 0.0, 0.0]",3.0,0.0,165.0,0.028
2.0,24.0,2.0,6548.0,5.0,"[0.0, 0.0, 0.0]",3.0,0.0,31.0,0.03
2.0,24.0,1.0,6554.0,6.0,"[0.0, 0.0, 0.0]",3.0,0.0,90.0,0.036
2.0,24.0,3.0,6555.0,6.0,"[0.0, 0.0, 0.0]",3.0,0.0,190.0,0.037
2.0,24.0,2.0,6560.0,6.0,"[0.0, 0.0, 0.0]",3.0,0.0,39.0,0.042
2.0,24.0,2.0,6573.0,7.0,"[0.0, 0.0, 0.0]",3.0,0.0,150.0,0.055
2.0,24.0,1.0,6577.0,7.0,"[0.0, 0.0, 0.0]",3.0,0.0,91.0,0.059
2.0,24.0,3.0,6582.0,7.0,"[0.0, 0.0, 0.0]",3.0,0.0,42.0,0.064
